speaker_id,line_num,line_str
201,0,Begin simulation.
201,1,Good morning class. I'm Ms. Tachi. How are you all today?
201,2,"Good teacher. Good, good,"
201,3,"Good. That's good to hear. So today we're gonna go over and review just three expectations that we should have during small groups. So one is raise your hand if you would like to share. So can you, can I see what raising your hand looks like? So,"
201,4,"Um,"
201,5,"Yeah. Good. Emily, Carlos, you guys Nice. So when we wanna share our thought, so you raise our hand so then we can, um, the others can share and listen. Nina up here please. Okay, thank you. Our second expec, uh, expectation is to be active listeners. So when we're listening to others, we should be using our ears and listening and engaging to what others are saying. Just how if someone is sharing, you'd want them to be respectful to yours, which goes into our last expectation is to be respectful, respectful to others, and to yourself and to me when in small group. So do you guys have any questions about any expectations or if you wanna add any more expectations we should have for a small group. Emily, is everything alright?"
201,6,"Yeah, I got text from my mom. Um, I have, um, sorry Emily, but I have a lot of ideas about, um, classrooms that we could, um, you do for once now overnight we can change em up."
201,7,"Okay. Um, Emily, um, after small group, we can talk about, um, whatever's going on with you. Um, if that's all,"
201,8,Sorry.
201,9,"No worries. Yeah, we can talk about it. Um, Carlos, did you have any ideas? You're trouble, Nina,"
201,10,"You,"
201,11,"Um, so Carlos wants to share and one of our ex uh, expectation is to be active listeners. So when others are talking, we wanna hear what they have to say all after class. You guys can talk about that all. Hi Carlos. Would uh, what would you like to share?"
201,12,"Just, um, we could come up with some new forms for after the break. That one we had before break, but, um, yeah, but now, um, we could come up with some different ones. Like, like could we get up and stretch at certain times during the day that copy one of our norms?"
201,13,Oh yeah. That's a great idea. I I love an idea of having like a brain break and stretching and having our body ready. We're
201,14,"Ready. Um, are we doing that today?"
201,15,"Yeah, of course. Um, after small group we can talk about that. Uh, maybe during lunch."
201,16,"Okay. Okay. That's good. Okay. Cause I just wanted to make sure that, um, I'm work with the brain project. Yeah, of course. Guys, are you doing, um, science for projects?"
201,17,"Yeah. And if anyone else wants to go over science fair stuff, just let me know and I can, we can meet together."
201,18,"Alright. Okay, good."
201,19,"Uh, so can someone share one of the expectations that we talked about today during small group?"
201,20,Be kind.
201,21,"Be kind as one. Yeah, that could be for the active listeners. When we're listening to others"
201,22,"Boring, why are we doing this?"
201,23,"Well, we have to make sure that we know our expectations with, um, each other. So then when we're sharing and discussing during small group, then we know what the"
201,24,"Expectation,"
201,25,"I know I sound boring, but it's good to go over them. Jayla. Um, so are, the expectation is to raise your hand and your li uh, you wanna share the active listeners and Jayla said, be kind, which is part of being a active listener. And"
201,26,"Be respectful. My suggestions. Will you shut, I'm so tired of to this. You're not. My mother"
201,27,Will be kind to each other please.
201,28,Sorry. Just trying to help.
201,29,"Uh, so come,"
201,30,Leave me alone.
201,31,"I understand, but I understand that you feel frustrated right now. But"
201,32,"I'm angry. Yeah,"
201,33,I can tell that you're angry. Take some breathe and calm your body.
201,34,"Yeah, there you go. Thanks. Teacher"
201,35,And simulation.
202,0,"Okay, go ahead."
202,1,Okay.
202,2,And stop simulation.
202,3,"Hi. Good morning, class. How are you guys?"
202,4,Hi teacher.
202,5,"Hi. Um, I'm Ms. Martin. Um, and today that we, we are gonna be going over just some behavioral expectations for our class. I know it's like the first week of school here. And so I just want us to kind of start off with some ground, um, expectations of what to kind of, uh, go over while we are learning throughout this year. Um, so does it, can anybody raise their hand and tell me, um, any type of classroom expectations they've maybe had in past"
202,6,Your science project
202,7,Together
202,8,Yet? Cause you should really
