speaker_id,line_num,sent_num,token_num,pos_tuple,pos,token_str,term_str,term_id
201,0,0,0,"('Begin', 'DT')",DT,Begin,begin,154
201,0,0,1,"('simulation', 'NN')",NN,simulation,simulation,1469
201,1,0,0,"('Good', 'JJ')",JJ,Good,good,670
201,1,0,1,"('morning', 'NN')",NN,morning,morning,1021
201,1,0,2,"('class', 'NN')",NN,class,class,282
201,1,1,0,"('I', 'PRP')",PRP,I,i,772
201,1,1,1,"(""'m"", 'VBP')",VBP,'m,m,948
201,1,1,2,"('Ms.', 'NNP')",NNP,Ms.,ms,1033
201,1,1,3,"('Tachi', 'NNP')",NNP,Tachi,tachi,1602
201,1,2,0,"('How', 'WRB')",WRB,How,how,761
201,1,2,1,"('are', 'VBP')",VBP,are,are,99
201,1,2,2,"('you', 'PRP')",PRP,you,you,1913
201,1,2,3,"('all', 'DT')",DT,all,all,52
201,1,2,4,"('today', 'NN')",NN,today,today,1695
201,2,0,0,"('Good', 'JJ')",JJ,Good,good,670
201,2,0,1,"('teacher', 'NN')",NN,teacher,teacher,1621
201,2,1,0,"('Good', 'JJ')",JJ,Good,good,670
201,2,1,2,"('good', 'JJ')",JJ,good,good,670
201,3,0,0,"('Good', 'JJ')",JJ,Good,good,670
201,3,1,0,"('That', 'DT')",DT,That,that,1648
201,3,1,1,"(""'s"", 'VBZ')",VBZ,'s,s,1382
201,3,1,2,"('good', 'JJ')",JJ,good,good,670
201,3,1,3,"('to', 'TO')",TO,to,to,1694
201,3,1,4,"('hear', 'VB')",VB,hear,hear,719
201,3,2,0,"('So', 'RB')",RB,So,so,1494
201,3,2,1,"('today', 'NN')",NN,today,today,1695
201,3,2,2,"('we', 'PRP')",PRP,we,we,1827
201,3,2,3,"(""'re"", 'VBP')",VBP,'re,re,1276
201,3,2,4,"('gon', 'VBG')",VBG,gon,gon,668
201,3,2,5,"('na', 'TO')",TO,na,na,1042
201,3,2,6,"('go', 'VB')",VB,go,go,663
201,3,2,7,"('over', 'IN')",IN,over,over,1137
201,3,2,8,"('and', 'CC')",CC,and,and,71
201,3,2,9,"('review', 'VB')",VB,review,review,1351
201,3,2,10,"('just', 'RB')",RB,just,just,858
201,3,2,11,"('three', 'CD')",CD,three,three,1674
201,3,2,12,"('expectations', 'NNS')",NNS,expectations,expectations,544
201,3,2,13,"('that', 'IN')",IN,that,that,1648
201,3,2,14,"('we', 'PRP')",PRP,we,we,1827
201,3,2,15,"('should', 'MD')",MD,should,should,1448
201,3,2,16,"('have', 'VB')",VB,have,have,713
201,3,2,17,"('during', 'IN')",IN,during,during,469
201,3,2,18,"('small', 'JJ')",JJ,small,small,1488
201,3,2,19,"('groups', 'NNS')",NNS,groups,groups,683
201,3,3,0,"('So', 'RB')",RB,So,so,1494
201,3,3,1,"('one', 'CD')",CD,one,one,1107
201,3,3,2,"('is', 'VBZ')",VBZ,is,is,831
201,3,3,3,"('raise', 'VB')",VB,raise,raise,1272
201,3,3,4,"('your', 'PRP$')",PRP$,your,your,1915
201,3,3,5,"('hand', 'NN')",NN,hand,hand,697
201,3,3,6,"('if', 'IN')",IN,if,if,776
201,3,3,7,"('you', 'PRP')",PRP,you,you,1913
201,3,3,8,"('would', 'MD')",MD,would,would,1892
201,3,3,9,"('like', 'VB')",VB,like,like,915
201,3,3,10,"('to', 'TO')",TO,to,to,1694
201,3,3,11,"('share', 'NN')",NN,share,share,1439
201,3,4,0,"('So', 'RB')",RB,So,so,1494
201,3,4,1,"('can', 'MD')",MD,can,can,236
201,3,4,2,"('you', 'PRP')",PRP,you,you,1913
201,3,4,4,"('can', 'MD')",MD,can,can,236
201,3,4,5,"('I', 'PRP')",PRP,I,i,772
201,3,4,6,"('see', 'VB')",VB,see,see,1418
201,3,4,7,"('what', 'WP')",WP,what,what,1841
201,3,4,8,"('raising', 'VBG')",VBG,raising,raising,1274
201,3,4,9,"('your', 'PRP$')",PRP$,your,your,1915
201,3,4,10,"('hand', 'NN')",NN,hand,hand,697
201,3,4,11,"('looks', 'VBZ')",VBZ,looks,looks,936
201,3,4,12,"('like', 'IN')",IN,like,like,915
201,3,5,0,"('So', 'RB')",RB,So,so,1494
201,4,0,0,"('Um', 'NNP')",NNP,Um,um,1755
201,5,0,0,"('Yeah', 'UH')",UH,Yeah,yeah,1903
201,5,1,0,"('Good', 'JJ')",JJ,Good,good,670
201,5,2,0,"('Emily', 'RB')",RB,Emily,emily,496
201,5,2,2,"('Carlos', 'NNP')",NNP,Carlos,carlos,246
201,5,2,4,"('you', 'PRP')",PRP,you,you,1913
201,5,2,5,"('guys', 'VBP')",VBP,guys,guys,690
201,5,2,6,"('Nice', 'NNP')",NNP,Nice,nice,1065
201,5,3,0,"('So', 'RB')",RB,So,so,1494
201,5,3,1,"('when', 'WRB')",WRB,when,when,1844
201,5,3,2,"('we', 'PRP')",PRP,we,we,1827
201,5,3,3,"('wan', 'VBP')",VBP,wan,wan,1814
201,5,3,4,"('na', 'TO')",TO,na,na,1042
201,5,3,5,"('share', 'NN')",NN,share,share,1439
201,5,3,6,"('our', 'PRP$')",PRP$,our,our,1130
201,5,3,7,"('thought', 'NN')",NN,thought,thought,1670
201,5,3,9,"('so', 'IN')",IN,so,so,1494
201,5,3,10,"('you', 'PRP')",PRP,you,you,1913
201,5,3,11,"('raise', 'VBP')",VBP,raise,raise,1272
201,5,3,12,"('our', 'PRP$')",PRP$,our,our,1130
201,5,3,13,"('hand', 'NN')",NN,hand,hand,697
201,5,3,14,"('so', 'RB')",RB,so,so,1494
201,5,3,15,"('then', 'RB')",RB,then,then,1655
201,5,3,16,"('we', 'PRP')",PRP,we,we,1827
201,5,3,17,"('can', 'MD')",MD,can,can,236
201,5,3,19,"('um', 'RB')",RB,um,um,1755
201,5,3,21,"('the', 'DT')",DT,the,the,1650
201,5,3,22,"('others', 'NNS')",NNS,others,others,1129
201,5,3,23,"('can', 'MD')",MD,can,can,236
201,5,3,24,"('share', 'NN')",NN,share,share,1439
201,5,3,25,"('and', 'CC')",CC,and,and,71
201,5,3,26,"('listen', 'NN')",NN,listen,listen,920
201,5,4,0,"('Nina', 'NNP')",NNP,Nina,nina,1070
201,5,4,1,"('up', 'RB')",RB,up,up,1774
201,5,4,2,"('here', 'RB')",RB,here,here,729
201,5,4,3,"('please', 'NN')",NN,please,please,1204
201,5,5,0,"('Okay', 'NNP')",NNP,Okay,okay,1102
201,5,5,2,"('thank', 'NN')",NN,thank,thank,1645
201,5,5,3,"('you', 'PRP')",PRP,you,you,1913
201,5,6,0,"('Our', 'PRP$')",PRP$,Our,our,1130
201,5,6,1,"('second', 'JJ')",JJ,second,second,1417
201,5,6,2,"('expec', 'NN')",NN,expec,expec,541
201,5,6,4,"('uh', 'UH')",UH,uh,uh,1753
201,5,6,6,"('expectation', 'NN')",NN,expectation,expectation,543
201,5,6,7,"('is', 'VBZ')",VBZ,is,is,831
201,5,6,8,"('to', 'TO')",TO,to,to,1694
201,5,6,9,"('be', 'VB')",VB,be,be,146
201,5,6,10,"('active', 'JJ')",JJ,active,active,23
201,5,6,11,"('listeners', 'NNS')",NNS,listeners,listeners,923
201,5,7,0,"('So', 'RB')",RB,So,so,1494
201,5,7,1,"('when', 'WRB')",WRB,when,when,1844
201,5,7,2,"('we', 'PRP')",PRP,we,we,1827
